postcode,Name,Address
3000-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
3000-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
3000-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
3001-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
3001-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
3001-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
3002-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
3002-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
3002-vic,Clifton Hill Clinic,"Clifton Hill Clinic, 22 Spensley Street, Clifton Hill VIC 3068, Australia"
3003-vic,Kensington Medical Clinic,"Kensington Medical Clinic, 483 Macaulay Road, Kensington VIC 3031, Australia"
3003-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
3003-vic,Travancore Medical Centre,"Travancore Medical Centre, 252 Mount Alexander Road, Travancore VIC 3032, Australia"
3004-vic,Albert Park Medical Centre,"Albert Park Medical Centre, 51 Dundas Place, Albert Park VIC 3206, Australia"
3004-vic,Albert Park Medical Centre,"Albert Park Medical Centre, 53 Dundas Place, Albert Park VIC 3206, Australia"
3004-vic,Albert Park Medical Centre,"Albert Park Medical Centre, 55 Dundas Place, Albert Park VIC 3206, Australia"
3005-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
3005-vic,No 68 Medical Centre,"No 68 Medical Centre, 68 Lonsdale Street, Melbourne VIC 3000, Australia"
3005-vic,Albert Park Medical Centre,"Albert Park Medical Centre, 55 Dundas Place, Albert Park VIC 3206, Australia"
3006-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
3006-vic,Albert Park Medical Centre,"Albert Park Medical Centre, 55 Dundas Place, Albert Park VIC 3206, Australia"
3006-vic,Albert Park Medical Centre,"Albert Park Medical Centre, 53 Dundas Place, Albert Park VIC 3206, Australia"
3007-vic,Centro de Saúde Mehara,"Centro de Saúde Mehara, Road Mehara-Tutuala, Porlamano, East Timor"
3007-vic,CENTRO SAUDE DE LAISOROLAI,"CENTRO SAUDE DE LAISOROLAI, Dalan Kiik ba Abere, Sede Suco Laisorolai De Cima, East Timor"
3007-vic,HR Maubisse,"HR Maubisse, Estrada Aileu - Ainaro, Maubisse, East Timor"
3008-vic,Swanston Street Medical Centre,"Swanston Street Medical Centre, 267 Bourke Street, Melbourne VIC 3000, Australia"
3008-vic,Kensington Medical Clinic,"Kensington Medical Clinic, 483 Macaulay Road, Kensington VIC 3031, Australia"
3008-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
3009-vic,Centro de Saúde Mehara,"Centro de Saúde Mehara, Road Mehara-Tutuala, Porlamano, East Timor"
3009-vic,CENTRO SAUDE DE LAISOROLAI,"CENTRO SAUDE DE LAISOROLAI, Dalan Kiik ba Abere, Sede Suco Laisorolai De Cima, East Timor"
3009-vic,HR Maubisse,"HR Maubisse, Estrada Aileu - Ainaro, Maubisse, East Timor"
3010-vic,Royal Park Medical,"Royal Park Medical, Flemington Road, North Melbourne VIC 3051, Australia"
